Date,SPY,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,META,BRK-B,UNH,JNJ
2021-03-11,393.5299987792969,121.95999908447266,237.1300048828125,105.0270004272461,155.67950439453125,233.1999969482422,129.93499755859375,273.8800048828125,260.9100036621094,353.1000061035156,159.13999938964844
2021-03-12,394.05999755859375,121.02999877929688,235.75,102.5,154.47450256347656,231.2433319091797,128.55999755859375,268.3999938964844,260.0199890136719,356.0199890136719,159.60000610351562
2021-03-15,396.4100036621094,123.98999786376953,234.80999755859375,102.72200012207031,154.08399963378906,235.97999572753906,131.91250610351562,273.75,254.61000061035156,353.8800048828125,160.4199981689453
2021-03-16,395.9100036621094,125.56999969482422,237.7100067138672,104.19450378417969,154.59300231933594,225.6266632080078,132.91250610351562,279.2799987792969,251.5,354.6000061035156,161.3699951171875
2021-03-17,397.260009765625,124.76000213623047,237.0399932861328,104.11100006103516,156.7864990234375,233.93666076660156,133.41250610351562,284.010009765625,252.0,352.17999267578125,160.77000427246094
2021-03-18,391.4800109863281,120.52999877929688,230.72000122070312,101.06700134277344,151.39950561523438,217.72000122070312,127.2249984741211,278.6199951171875,252.4600067138672,362.04998779296875,160.47000122070312
2021-03-19,389.4800109863281,119.98999786376953,230.35000610351562,101.3479995727539,153.7480010986328,218.2899932861328,128.45750427246094,290.1099853515625,250.99000549316406,365.5799865722656,160.0399932861328
2021-03-22,392.5899963378906,123.38999938964844,235.99000549316406,101.53450012207031,155.5435028076172,223.3333282470703,131.8625030517578,293.5400085449219,250.36000061035156,366.8599853515625,160.5
2021-03-23,389.5,122.54000091552734,237.5800018310547,102.06649780273438,156.875,220.72000122070312,130.70750427246094,290.6300048828125,248.30999755859375,368.5,160.35000610351562
2021-03-24,387.5199890136719,120.08999633789062,235.4600067138672,101.62650299072266,154.35350036621094,210.08999633789062,126.43000030517578,282.1400146484375,249.6300048828125,370.6000061035156,161.91000366210938
2021-03-25,389.70001220703125,120.58999633789062,232.33999633789062,101.62300109863281,152.31300354003906,213.4633331298828,125.35250091552734,278.739990234375,250.75,371.0899963378906,161.97000122070312
2021-03-26,395.9800109863281,121.20999908447266,236.47999572753906,101.23650360107422,152.60150146484375,206.23666381835938,128.3925018310547,283.0199890136719,256.7699890136719,376.4800109863281,164.92999267578125
2021-03-29,395.7799987792969,121.38999938964844,235.24000549316406,102.28949737548828,153.7864990234375,203.76333618164062,129.4824981689453,290.82000732421875,258.82000732421875,379.05999755859375,166.0399932861328
2021-03-30,394.7300109863281,119.9000015258789,231.85000610351562,102.32350158691406,152.76449584960938,211.8733367919922,128.71749877929688,288.0,258.19000244140625,373.55999755859375,165.00999450683594
2021-03-31,396.3299865722656,122.1500015258789,235.77000427246094,103.1259994506836,154.70399475097656,222.64332580566406,133.4824981689453,294.5299987792969,255.47000122070312,372.07000732421875,164.35000610351562
2021-04-01,400.6099853515625,123.0,242.35000610351562,106.48899841308594,158.0500030517578,220.5833282470703,138.11749267578125,298.6600036621094,258.20001220703125,367.07000732421875,162.8300018310547
2021-04-05,406.3599853515625,125.9000015258789,249.07000732421875,110.947998046875,161.3365020751953,230.35000610351562,139.875,308.9100036621094,262.6600036621094,370.17999267578125,163.42999267578125
2021-04-06,406.1199951171875,126.20999908447266,247.86000061035156,110.46299743652344,161.1909942626953,230.5399932861328,138.61500549316406,306.260009765625,263.05999755859375,364.3699951171875,163.38999938964844
2021-04-07,406.5899963378906,127.9000015258789,249.89999389648438,111.95149993896484,163.96949768066406,223.6566619873047,141.43499755859375,313.0899963378906,263.6199951171875,365.6400146484375,163.61000061035156
2021-04-08,408.5199890136719,130.36000061035156,253.25,112.52149963378906,164.96499633789062,227.93333435058594,143.1699981689453,313.0199890136719,263.510009765625,364.8900146484375,162.97000122070312
2021-04-09,411.489990234375,133.0,255.85000610351562,113.53350067138672,168.61000061035156,225.67333984375,144.0,312.4599914550781,266.010009765625,376.29998779296875,161.25
2021-04-12,411.6400146484375,131.24000549316406,255.91000366210938,112.23100280761719,168.96949768066406,233.9933319091797,152.08999633789062,311.5400085449219,267.92999267578125,376.2799987792969,161.63999938964844
2021-04-13,412.8599853515625,134.42999267578125,258.489990234375,112.72149658203125,170.0,254.10667419433594,156.7949981689453,309.760009765625,267.1000061035156,374.5,159.47999572753906
2021-04-14,411.45001220703125,132.02999877929688,255.58999633789062,112.09549713134766,166.64999389648438,244.07666015625,152.77000427246094,302.82000732421875,267.5299987792969,375.6300048828125,159.9199981689453
2021-04-15,415.8699951171875,134.5,259.5,114.26249694824219,168.95449829101562,246.28334045410156,161.37249755859375,307.82000732421875,269.1400146484375,390.010009765625,160.38999938964844
2021-04-16,417.260009765625,134.16000366210938,260.739990234375,114.13749694824219,169.9720001220703,246.5933380126953,159.125,306.17999267578125,272.1099853515625,391.010009765625,162.24000549316406
2021-04-19,415.2099914550781,134.83999633789062,258.739990234375,114.48799896240234,168.60049438476562,238.2100067138672,153.61749267578125,302.239990234375,270.2799987792969,389.8399963378906,162.69000244140625
2021-04-20,412.1700134277344,133.11000061035156,258.260009765625,113.95050048828125,166.7344970703125,239.663330078125,151.71249389648438,302.6499938964844,267.8900146484375,396.5299987792969,166.47999572753906
2021-04-21,416.07000732421875,133.5,260.5799865722656,113.9175033569336,168.1009979248047,248.0399932861328,153.60499572753906,301.4700012207031,272.2099914550781,398.80999755859375,166.58999633789062
2021-04-22,412.2699890136719,131.94000244140625,257.1700134277344,112.6259994506836,165.45199584960938,239.89666748046875,148.50250244140625,296.5199890136719,269.510009765625,396.5400085449219,165.17999267578125
2021-04-23,416.739990234375,134.32000732421875,261.1499938964844,114.99649810791016,167.04400634765625,243.13333129882812,152.65249633789062,301.1300048828125,271.9800109863281,400.30999755859375,165.52000427246094
2021-04-26,417.6099853515625,134.72000122070312,261.54998779296875,115.49649810791016,170.4499969482422,246.06666564941406,154.77999877929688,303.0400085449219,270.8599853515625,395.8599853515625,164.1199951171875
2021-04-27,417.5199890136719,134.38999938964844,261.9700012207031,114.54900360107422,170.8715057373047,234.913330078125,153.8175048828125,303.57000732421875,273.6499938964844,394.5,163.17999267578125
2021-04-28,417.3999938964844,133.5800018310547,254.55999755859375,117.9520034790039,172.9250030517578,231.46665954589844,152.7675018310547,307.1000061035156,272.95001220703125,394.5899963378906,161.97999572753906
2021-04-29,420.05999755859375,133.47999572753906,252.50999450683594,119.63800048828125,173.5655059814453,225.6666717529297,153.24749755859375,329.510009765625,277.6000061035156,401.54998779296875,164.1999969482422
2021-04-30,417.29998779296875,131.4600067138672,252.17999267578125,117.67500305175781,173.37100219726562,236.47999572753906,150.09500122070312,325.0799865722656,274.95001220703125,398.79998779296875,162.72999572753906
2021-05-03,418.20001220703125,132.5399932861328,251.86000061035156,117.15399932861328,169.32449340820312,228.3000030517578,148.36749267578125,322.5799865722656,279.17999267578125,405.8999938964844,165.2100067138672
2021-05-04,415.6199951171875,127.8499984741211,247.7899932861328,115.34149932861328,165.593505859375,224.53334045410156,143.5124969482422,318.3599853515625,280.260009765625,411.3399963378906,167.77000427246094
2021-05-05,415.75,128.10000610351562,246.47000122070312,115.7385025024414,163.52699279785156,223.64666748046875,144.5850067138672,315.0199890136719,282.760009765625,412.5,167.07000732421875
2021-05-06,419.07000732421875,129.74000549316406,249.72999572753906,116.86750030517578,165.31849670410156,221.17999267578125,145.22999572753906,320.0199890136719,289.7099914550781,414.9700012207031,167.74000549316406
2021-05-07,422.1199951171875,130.2100067138672,252.4600067138672,117.59649658203125,164.58050537109375,224.1233367919922,148.12249755859375,319.0799865722656,290.92999267578125,417.6499938964844,168.5
2021-05-10,417.94000244140625,126.8499984741211,247.17999267578125,114.5875015258789,159.52450561523438,209.67999267578125,142.65750122070312,305.9700012207031,292.3299865722656,420.8900146484375,170.27000427246094
2021-05-11,414.2099914550781,125.91000366210938,246.22999572753906,113.50299835205078,161.19549560546875,205.73333740234375,143.0625,306.5299987792969,285.6300048828125,411.70001220703125,168.8800048828125
2021-05-12,405.4100036621094,122.7699966430664,239.0,110.01249694824219,157.5970001220703,196.6300048828125,137.5850067138672,302.54998779296875,282.9100036621094,405.3699951171875,168.1999969482422
2021-05-13,410.2799987792969,124.97000122070312,243.02999877929688,111.4520034790039,158.07350158691406,190.56333923339844,136.65249633789062,305.260009765625,286.8999938964844,408.55999755859375,169.9600067138672
2021-05-14,416.5799865722656,127.44999694824219,248.14999389648438,113.91899871826172,161.14500427246094,196.5800018310547,142.42999267578125,315.94000244140625,290.67999267578125,409.79998779296875,170.22000122070312
2021-05-17,415.5199890136719,126.2699966430664,245.17999267578125,114.44599914550781,163.51950073242188,192.27667236328125,141.65499877929688,315.4599914550781,289.2200012207031,408.6300048828125,170.38999938964844
2021-05-18,411.94000244140625,124.8499984741211,243.0800018310547,113.12349700927734,161.61399841308594,192.6233367919922,140.15750122070312,309.9599914550781,287.5899963378906,410.3800048828125,170.4499969482422
2021-05-19,410.8599853515625,124.69000244140625,243.1199951171875,113.57499694824219,161.58999633789062,187.82000732421875,140.65750122070312,313.5899963378906,286.2200012207031,409.5,170.0800018310547
